City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,alta,69.9689,23.2717,16.59,36,0,5.66,NO,1684153180
84,karwar,14.8,74.1333,29.94,65,75,5.14,IN,1684153196
85,petrovsk-zabaykal'skiy,51.273,108.843,4.87,30,100,0.98,RU,1684153197
86,isfara,40.1265,70.6253,29.71,20,0,4.03,TJ,1684153198
87,longyearbyen,78.2186,15.6401,-6.09,68,75,9.77,SJ,1684152970
88,apatzingan,19.0833,-102.35,23.55,48,6,0.83,MX,1684153200
89,barth,54.3635,12.7249,14.74,82,22,3.86,DE,1684152939
90,tofol,5.3248,163.0078,28.38,78,100,9.05,FM,1684153202
91,morshansk,53.4435,41.8107,15.02,57,70,4.29,RU,1684153203
92,newton,42.337,-71.2092,14.99,45,0,4.63,US,1684153020
93,noumea,-22.2763,166.4572,18.99,77,35,5.26,NC,1684153077
94,port mathurin,-19.6833,63.4167,25.51,74,1,5.5,MU,1684152767
95,orchard homes,46.8633,-114.0484,14.08,79,0,6.17,US,1684153210
96,tabou,4.423,-7.3528,28.03,78,87,3.15,CI,1684153211
97,kulachi,31.9286,70.4592,40.52,9,45,3.57,PK,1684153212
98,weno,7.4515,151.8468,27.97,89,40,1.54,FM,1684152684
99,kavaratti,10.5669,72.642,29.65,71,56,4.77,IN,1684153214
100,pisco,-13.7,-76.2167,16.68,94,27,1.54,PE,1684153215
101,mana,5.6592,-53.7767,27.32,82,35,3.63,GF,1684153216
102,khemis miliana,36.261,2.2202,23.53,27,18,7.55,DZ,1684153217
103,delphos,40.8434,-84.3416,11.49,67,100,4.92,US,1684153073
104,horta,38.5333,-28.6333,19.45,86,20,3.6,PT,1684153219
105,gilgit,35.9221,74.3087,22.68,36,26,0.44,PK,1684153221
106,moranbah,-22.0016,148.0466,20.58,64,30,3.03,AU,1684153222
107,zyryanskoye,56.8306,86.6258,9.77,33,99,3.92,RU,1684153223
108,tazovsky,67.4667,78.7,-0.29,94,100,5.49,RU,1684152725
109,usogorsk,63.4106,48.6872,18.85,35,98,2.97,RU,1684153225
110,el nido,11.1858,119.3956,28.36,76,72,2.56,PH,1684153226
111,estevan,49.1334,-102.9842,10.19,87,0,2.06,CA,1684153227
112,bolobo,-2.1667,16.2333,33.65,46,43,1.66,CD,1684153229
113,balqash,46.8481,74.995,20.33,19,0,7.0,KZ,1684153230
114,kiruna,67.8557,20.2251,17.51,29,0,7.2,SE,1684153232
115,nicoya,10.1483,-85.452,26.15,74,92,1.32,CR,1684153233
116,slavyanka,42.8633,131.3847,9.94,98,100,1.83,RU,1684153234
117,fale old settlement,-9.3852,-171.2468,28.47,79,22,5.52,TK,1684152676
118,reggane,26.7158,0.1714,31.22,10,0,6.62,DZ,1684153236
119,pacific grove,36.6177,-121.9166,13.01,93,100,0.0,US,1684153237
120,kuvandyk,51.4781,57.3552,17.15,41,30,5.26,RU,1684153238
121,el porvenir,13.7617,-87.3458,21.63,65,71,1.69,HN,1684153239
122,kirakira,-10.4544,161.9205,26.63,86,99,0.86,SB,1684152830
123,severo-yeniseyskiy,60.3725,93.0408,-1.77,74,100,3.11,RU,1684152717
124,mount pearl,47.5166,-52.7813,6.17,85,75,11.32,CA,1684153243
125,flin flon,54.7682,-101.865,15.91,48,75,3.6,CA,1684153244
126,ilhabela,-23.7781,-45.3581,21.12,64,5,1.36,BR,1684152919
127,kelso,46.1468,-122.9084,18.92,76,0,0.0,US,1684153247
128,antsiranana,-12.2787,49.2917,29.83,53,16,4.98,MG,1684152747
129,takoradi,4.8845,-1.7554,26.07,87,100,3.68,GH,1684153245
130,puerto ayora,-0.7393,-90.3518,25.31,90,100,3.58,EC,1684152775
131,jamestown,42.097,-79.2353,11.12,86,0,0.45,US,1684153251
132,amos,48.5669,-78.1162,11.33,47,100,5.59,CA,1684153180
133,constantia,44.1833,28.65,19.38,63,72,6.82,RO,1684152787
134,namsos,64.4662,11.4957,13.95,62,20,4.12,NO,1684153256
135,afaahiti,-17.75,-149.2833,22.93,81,36,2.07,PF,1684153258
136,vila velha,-20.3297,-40.2925,24.97,80,0,1.54,BR,1684152876
137,belle fourche,44.6714,-103.8522,8.94,84,63,1.6,US,1684153260
138,aasiaat,68.7098,-52.8699,-4.69,74,100,6.11,GL,1684152902
139,villaverde del rio,37.6008,-5.8951,29.28,23,15,2.13,ES,1684153262
140,quepos,9.4236,-84.1652,27.06,78,99,1.43,CR,1684153263
141,remire-montjoly,4.9167,-52.2667,27.02,89,75,4.12,GF,1684152844
142,lorengau,-2.0226,147.2712,27.99,79,70,2.1,PG,1684152791
143,iskateley,67.6803,53.1512,4.4,85,93,6.48,RU,1684152971
144,broken hill,-31.95,141.4333,13.33,54,31,2.09,AU,1684153267
145,hithadhoo,-0.6,73.0833,28.63,79,100,7.03,MV,1684152884
146,qarqaraly,49.4058,75.4742,13.47,22,10,4.71,KZ,1684153270
147,baihe,22.15,107.2333,25.86,78,90,1.54,CN,1684153271
148,shats'k,51.5021,23.9381,14.03,74,100,6.68,UA,1684153272
149,saipan,15.1355,145.701,28.39,100,0,3.09,MP,1684153273
150,kirishi,59.4471,32.0205,20.71,35,61,2.15,RU,1684153274
151,lihue,21.9789,-159.3672,20.58,88,100,3.6,US,1684152869
152,qarayeri,40.7886,46.3066,19.49,48,75,5.14,AZ,1684153277
153,st. john's,47.5649,-52.7093,7.04,85,75,10.8,CA,1684152729
154,khandyga,62.6667,135.6,5.0,80,100,2.81,RU,1684152803
155,cabo san lucas,22.8909,-109.9124,20.28,64,7,4.86,MX,1684152728
156,caleta de carquin,-11.0925,-77.6267,20.96,81,31,3.56,PE,1684153044
157,arias,-33.6441,-62.4027,15.38,61,0,3.32,AR,1684153282
158,crane,31.3974,-102.3501,19.17,68,51,4.17,US,1684153284
159,hasaki,35.7333,140.8333,17.34,79,100,6.45,JP,1684153285
160,talpa de allende,20.3833,-104.8167,17.36,55,44,1.68,MX,1684153286
161,poronaysk,49.2167,143.1167,7.0,93,88,6.57,RU,1684153287
162,praia da vitoria,38.7333,-27.0667,19.86,86,6,3.23,PT,1684152879
163,bredasdorp,-34.5322,20.0403,19.44,45,1,3.57,ZA,1684152705
164,samus',56.7475,84.6992,12.78,36,99,2.52,RU,1684153291
165,chonchi,-42.6128,-73.8092,11.18,95,100,2.64,CL,1684152877
166,olonkinbyen,70.9221,-8.7187,0.28,98,100,6.11,SJ,1684152868
167,weligama,5.9667,80.4167,28.69,84,98,4.97,LK,1684153295
168,badger,64.8,-147.5333,8.93,57,20,4.63,US,1684153297
169,akureyri,65.6835,-18.0878,-1.04,93,100,6.17,IS,1684152857
170,the dalles,45.5946,-121.1787,18.89,68,0,2.06,US,1684153064
171,polyarnyy,69.1989,33.4478,8.36,89,89,2.51,RU,1684152964
172,saint-philippe,-21.3585,55.7679,27.77,83,42,3.88,RE,1684152891
173,cafayate,-26.073,-65.9761,17.9,48,0,0.84,AR,1684153240
174,la sarre,48.8002,-79.1996,10.05,51,100,6.36,CA,1684153307
175,banikoara,11.2985,2.4386,35.75,39,100,4.49,BJ,1684153308
176,kedougou,12.5579,-12.1743,38.32,32,0,2.06,SN,1684153309
177,chui,-33.6971,-53.4616,16.05,64,17,3.72,UY,1684153310
178,arteaga,18.4667,-102.4167,17.73,45,2,0.94,MX,1684153311
179,lepsy,46.235,78.9456,18.05,29,89,7.54,KZ,1684153312
180,xinyuan,37.3,99.0,11.18,38,69,3.06,CN,1684153314
181,dryden,49.7833,-92.7503,10.16,62,20,3.6,CA,1684153315
182,nikolayevsk-on-amure,53.1406,140.73,9.65,89,42,3.72,RU,1684153316
183,gizo,-8.103,156.8419,27.99,79,79,0.44,SB,1684153317
184,alpine,32.835,-116.7664,13.58,91,100,2.06,US,1684153318
185,usinsk,65.9939,57.5281,4.17,89,100,7.43,RU,1684153319
186,bathsheba,13.2167,-59.5167,29.34,65,40,6.17,BB,1684153321
187,okhotsk,59.3833,143.3,2.88,70,92,4.75,RU,1684152851
188,malpe,13.35,74.7167,30.29,66,86,4.84,IN,1684153324
189,nako,31.8814,78.627,6.51,48,36,3.54,IN,1684153326
190,college,64.8569,-147.8028,8.97,52,40,4.63,US,1684152560
191,petropavlovsk-kamchatsky,53.0452,158.6483,7.1,75,21,2.93,RU,1684152798
192,lhokseumawe,5.1801,97.1507,27.85,80,62,2.13,ID,1684153329
193,williams lake,52.1415,-122.1445,13.76,47,0,1.03,CA,1684153330
194,dapa,9.7594,126.0531,28.41,77,89,1.33,PH,1684153332
195,la'ie,21.6477,-157.9253,22.28,66,69,0.45,US,1684153333
196,visp,46.2937,7.8815,17.9,70,87,2.42,CH,1684153334
197,tual,-5.6667,132.75,27.49,79,100,1.84,ID,1684153335
